"SOUND","VOICING","SEGMENT","SEGMENT3","SEGMENT2","STOP","SEGMENT4","STIMULUS","GENERAL_TYPE","PLACE","TYPE","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","SpaceBar.keys","SpaceBar.rt","key_resp_2.keys","key_resp_2.rt","rating.response","rating.rt","participant","Gender","Age","frameRate","OtherLanguages","NativeLanguage","expName","date","X34"
"Recordings/daba.wav","yes","d","b","a","yes","a","daba","Training","alveolar","TrainingItems",1,56,156,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/titi.wav","no","t","t","i","yes","i","titi","Training","alveolar","TrainingItems",1,57,157,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/dudi.wav","yes","d","d","u","yes","i","dudi","Training","alveolar","TrainingItems",1,58,158,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/babi.wav","yes","b","b","a","yes","i","babi","Training","bilabial","TrainingItems",1,59,159,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/baba.wav","yes","b","b","a","yes","a","baba","Training","bilabial","TrainingItems",1,60,160,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/sasu.wav","no","s","s","a","no","u","sasu","Training","alveolar","TrainingItems",1,61,161,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/tatu.wav","no","t","t","a","yes","u","tatu","Training","alveolar","TrainingItems",1,62,162,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/buba.wav","yes","b","b","u","yes","a","buba","Training","bilabial","TrainingItems",1,63,163,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/tupa.wav","no","t","p","u","yes","a","tupa","Training","alveolar","TrainingItems",1,64,164,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
"Recordings/fisu.wav","no","f","s","i","no","u","fisu","Training","bilabial","TrainingItems",1,65,165,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,FALSE,21,59.9480887751,NA,"American English","VSH_Exp2","2016_Mar_02_1804",NA
